Sequencial;Região;UF;Partido;Nr;Candidato;Nome eleitoral;Idade;Situação;Sexo;QE;Base/Oposição/Neutro;Grau de instrução;Ocupação;Eleito em 2010;Receitas em 2014;Nominais;R$/Voto
256;N;PA;PPS;2323;ARNALDO JORDY FIGUEIREDO;JORDY;55;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;538314.84;70950;
257;N;PA;PSD;5577;FRANCISCO ALVES DE AGUIAR;CHAPADINHA;58;ELEITO POR MÉDIA;MASCULINO;Não;B;ENSINO MÉDIO COMPLETO;COMERCIANTE;Não;575913.21;63671;
258;N;PA;PSD;5500;ÉDER MAURO CARDOSO BARRA;DELEGADO EDER MAURO;53;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;SERVIDOR PéBLICO ESTADUAL;Não;348235.62;265983;
259;N;PA;PROS;9010;ROBERTO SALAME FILHO;BETO SALAME;40;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Não;1342934.3;93524;
260;N;PA;PMDB;1515;ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE;70;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1088752.43;87632;
261;N;PA;PSOL;5050;EDMILSON BRITO RODRIGUES;EDMILSON RODRIGUES;57;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;198885;170604;
262;NE;PE;PHS;3140;KAIO CÉSAR DE MOURA MANIÇOBA NOVAES FERRAZ;KAIO MANIÇOBA;30;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR INCOMPLETO;OUTROS;Não;55635.85;28585;
263;NE;PE;PSB;4050;FRANCISCO EURICO DA SILVA;PASTOR EURICO;52;ELEITO POR QP;MASCULINO;Não;O;ENSINO MÉDIO COMPLETO;OUTROS;Sim;409150;233762;
264;NE;PE;PSB;4010;DANILO JORGE DE BARROS CABRAL;DANILO CABRAL;47;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;548486;113588;
265;NE;PE;PSDB;4500;HEBERTE LAMARCK GOMES DA SILVA;BETINHO;39;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;1656860;97269;
266;NE;PE;PTB;1400;JOSE CAVALCANTI ALVES JUNIOR;ZECA CAVALCANTI;48;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;MÉDICO;Não;222730;97057;
267;NE;PE;PSB;4012;MARINALDO ROSENDO DE ALBUQUERQUE;MARINALDO ROSENDO;48;ELEITO POR QP;MASCULINO;Não;O;ENSINO MÉDIO COMPLETO;EMPRESµRIO;Não;747284.4;97380;
268;NE;PE;PTB;1414;RICARDO TEOBALDO CAVALCANTI;RICARDO TEOBALDO;48;ELEITO POR QP;MASCULINO;Não;B;ENSINO MÉDIO COMPLETO;EMPRESµRIO;Não;520500;92262;
269;NE;PE;PR;2222;ANDERSON FERREIRA RODRIGUES;ANDERSON FERREIRA;41;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR INCOMPLETO;DEPUTADO;Sim;2250000;150565;
270;NE;PE;PR;2233;SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR;SEBASTIAO OLIVEIRA;46;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;596183;115926;
271;NE;PE;PDT;1234;WOLNEY QUEIROZ MACIEL;WOLNEY QUEIROZ;41;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR INCOMPLETO;EMPRESµRIO;Sim;1592230;86739;
272;NE;PE;PTB;1444;ADALBERTO CAVALCANTI RODRIGUES;ADALBERTO CAVALCANTI;56;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;SERVIDOR PéBLICO ESTADUAL;Não;384086.95;99912;
273;NE;PE;PSB;4001;FERNANDO BEZERRA DE SOUZA COELHO FILHO;FERNANDO FILHO;30;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;912000;112684;
274;NE;PE;DEM;2525;JOSÉ MENDONÇA BEZERRA FILHO;MENDONÇA FILHO;48;ELEITO POR MÉDIA;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;3496816;88250;
275;NE;PE;PSDB;4511;BRUNO CAVALCANTI DE ARAéJO;BRUNO ARAéJO;42;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;3823970.27;131768;
276;NE;PE;PP;1111;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;41;ELEITO POR QP;MASCULINO;Sim;B;ENSINO MÉDIO COMPLETO;DEPUTADO;Não;2712255.18;283567;
277;NE;PE;PSD;5555;ANDRE CARLOS ALVES DE PAULA FILHO;ANDRE DE PAULA;53;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Não;1282958.6;100875;
278;NE;PE;PSC;2020;SILVIO SERAFIM COSTA;SILVIO COSTA;57;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;OUTROS;Não;1734690;103461;
279;NE;PE;PMDB;1515;JARBAS DE ANDRADE VASCONCELOS;JARBAS;72;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;SENADOR;Não;1979036;227470;
280;NE;PE;PSB;4020;FRANCISCO TADEU BARBOSA DE ALENCAR;TADEU ALENCAR;51;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;OUTROS;Não;1360633.65;102669;
281;NE;PE;PSB;4040;JOAO FERNANDO PONTUAL COUTINHO;JOAO FERNANDO COUTINHO;35;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;1274000;120059;
282;NE;PE;PSDB;4545;DANIEL PIRES COELHO;DANIEL COELHO;35;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;EMPRESµRIO;Não;779070.14;138825;
283;NE;PE;PSB;4004;FELIPE AUGUSTO LYRA CARRERAS;FELIPE CARRERAS;39;ELEITO POR QP;MASCULINO;Não;O;ENSINO MÉDIO COMPLETO;EMPRESµRIO;Não;1176880;187348;
284;NE;PE;PTB;1411;JORGE WICKS CâRTE REAL;JORGE CâRTE REAL;63;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;OUTROS;Não;1048700;86023;
285;NE;PE;PSB;4000;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;68;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;OUTROS;Sim;466999.26;101452;
286;NE;PE;PC do B;6510;LUCIANA BARBOSA DE OLIVEIRA SANTOS;LUCIANA SANTOS;48;ELEITO POR MÉDIA;FEMININO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2031446.35;85053;
287;NE;PI;PTB;1490;FµBIO ABREU COSTA;CAPITÇO FABIO ABREU;41;ELEITO POR MÉDIA;MASCULINO;Não;B;SUPERIOR COMPLETO;POLICIAL MILITAR;Não;186876.53;80839;
288;NE;PI;PTB;1410;JOSÉ FRANCISCO PAES LANDIM;PAES LANDIM;77;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;985963.63;82549;
289;NE;PI;PT;1313;FRANCISCO DE ASSIS CARVALHO GONÇALVES;ASSIS CARVALHO;53;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;1114946;94093;
290;NE;PI;PSB;4040;ATILA FREITAS LIRA;ATILA LIRA;67;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;ECONOMISTA;Sim;1117147.49;129276;
291;NE;PI;PSD;5555;JULIO CESAR DE CARVALHO LIMA;JéLIO CÉSAR;66;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;416779;99750;
292;NE;PI;PSB;4036;HERACLITO DE SOUSA FORTES;HERACLITO;64;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR INCOMPLETO;SERVIDOR PéBLICO CIVIL APOSENTADO;Não;4136768.12;90898;
293;NE;PI;PSB;4041;RODRIGO RODRIGUES DE SOUZA MARTINS;RODRIGO;32;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;ODONTàLOGO;Não;451038.97;92349;
294;NE;PI;PMDB;1515;MARCELO COSTA E CASTRO;MARCELO CASTRO;64;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;605966.65;111132;
295;NE;PI;PT;1311;REJANE RIBEIRO SOUSA DIAS;REJANE DIAS;42;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;931206.38;134157;
296;NE;PI;PP;1111;IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA;IRACEMA PORTELLA;48;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;6723539.5;121121;
297;S;PR;PP;1120;MARCELO BELINATI MARTINS;MARCELO BELINATI;43;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;MÉDICO;Não;951521;137817;
298;S;PR;PTN;1900;CHRISTIANE DE SOUZA YARED;CHRISTIANE YARED;54;ELEITO POR QP;FEMININO;Não;O;ENSINO MÉDIO COMPLETO;EMPRESµRIO;Não;120830.5;200144;
299;S;PR;PSDB;4566;JACOB ALFREDO STOFFELS KAEFER;ALFREDO KAEFER;58;ELEITO POR MÉDIA;MASCULINO;Não;O;ENSINO FUNDAMENTAL COMPLETO;INDUSTRIAL;Sim;4780022.82;82554;
300;S;PR;PT;1310;JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA;ZECA DIRCEU;36;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;2000101.32;155583;
301;S;PR;PP;1111;NELSON MEURER;NELSON MEURER;72;ELEITO POR QP;MASCULINO;Não;B;ENSINO FUNDAMENTAL COMPLETO;DEPUTADO;Sim;2645682.2;106478;
302;S;PR;PSB;4040;LUCIANO DUCCI;LUCIANO DUCCI;59;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;MÉDICO;Não;1769880.14;156263;
303;S;PR;PSC;2014;HIDEKAZU TAKAYAMA;TAKAYAMA;66;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR INCOMPLETO;DEPUTADO;Sim;186056.64;162952;
304;S;PR;PSD;5533;EVANDRO ROGÉRIO ROMAN;EVANDRO ROMAN;41;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;PROFESSOR E INSTRUTOR DE FORMAÇÇO PROFISSIONAL;Não;1616819.71;92042;
305;S;PR;PMDB;1533;OSMAR JOSE SERRAGLIO;OSMAR SERRAGLIO;66;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Sim;1495649.45;117048;
306;S;PR;PT;1345;ANTONIO WANDSCHEER;TONINHO WANDSCHEER;64;ELEITO POR MÉDIA;MASCULINO;Não;B;SUPERIOR COMPLETO;EMPRESµRIO;Não;1748346.12;71822;
307;S;PR;PSDB;4545;VALDIR LUIZ ROSSONI;VALDIR ROSSONI;61;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;EMPRESµRIO;Não;1468376.08;177324;
308;S;PR;PHS;3131;DIEGO ALEXSANDER GONÇALO PAULA GARCIA;DIEGO GARCIA;29;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR INCOMPLETO;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;Não;116240.86;61063;
309;S;PR;PMDB;1512;SERGIO DE SOUZA;SERGIO SOUZA;43;ELEITO POR MÉDIA;MASCULINO;Não;B;SUPERIOR COMPLETO;SENADOR;Não;2206137.21;77699;
310;S;PR;PMDB;1540;HERMES PARCIANELLO;HERMES FRANGÇO PARCIANELLO;56;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;343004.4;150213;
311;S;PR;PPS;2323;SANDRO ALEX CRUZ DE OLIVEIRA;SANDRO ALEX;41;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;EMPRESµRIO;Sim;847828.13;116909;
312;S;PR;PC do B;6565;ALIEL MACHADO BARK;ALIEL MACHADO;25;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR INCOMPLETO;VEREADOR;Não;576451.52;82886;
313;S;PR;PV;4300;LEANDRE DAL PONTE;LEANDRE;38;ELEITO POR QP;FEMININO;Não;O;SUPERIOR COMPLETO;ENGENHEIRO;Não;262649;81181;
314;S;PR;PP;1151;RICARDO JOSÉ MAGALHÇES BARROS;RICARDO BARROS;54;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ENGENHEIRO;Não;3134612.27;114396;
315;S;PR;PSB;4070;LEOPOLDO COSTA MEYER;LEOPOLDO MEYER;64;ELEITO POR MÉDIA;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;514484.9;59974;
316;S;PR;PT;1330;ENIO JOSÉ VERRI;ENIO VERRI;53;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;523384.3;107508;
317;S;PR;PMDB;1511;JOÇO JOSÉ DE ARRUDA JUNIOR;JOAO ARRUDA;38;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;1684658.68;176370;
318;S;PR;SD;7777;FERNANDO DESTITO FRANCISCHINI;DELEGADO FRANCISCHINI;44;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;2560734.62;159569;
319;S;PR;PR;2222;LUIZ HILOSHI NISHIMORI;LUIZ NISHIMORI;65;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;2466817.17;106852;
320;S;PR;PR;2200;FERNANDO LUCIO GIACOBO;GIACOBO;43;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2731264.69;144305;
321;S;PR;PSC;2023;EDMAR DE SOUZA ARRUDA;EDMAR ARRUDA;55;ELEITO POR MÉDIA;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;2991353.66;85155;
322;S;PR;PPS;2300;RUBENS BUENO;RUBENS BUENO;66;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;801922.44;95841;
323;S;PR;PP;1122;DILCEU JOÇO SPERAFICO;DILCEU SPERAFICO;66;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;2189700;151930;
324;S;PR;PT;1314;ASSIS MIGUEL DO COUTO;ASSIS DO COUTO;52;ELEITO POR QP;MASCULINO;Não;B;ENSINO MÉDIO COMPLETO;AGRICULTOR;Sim;343667.77;76116;
325;S;PR;PTB;1414;ALEX CANZIANI SILVEIRA;ALEX CANZIANI;50;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1882118.19;187475;
326;S;PR;PSDB;4515;LUIZ CARLOS JORGE HAULY;LUIZ CARLOS HAULY;63;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;3023233.69;86439;
327;SE;RJ;PSOL;5020;BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;38;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;BOMBEIRO MILITAR;Não;38809.5;49831;
328;SE;RJ;PSDC;2727;LUIZ CARLOS RAMOS;LUIZ CARLOS RAMOS DO CHAPEU;63;ELEITO POR QP;MASCULINO;Não;N;ENSINO MÉDIO COMPLETO;VEREADOR;Não;615259.51;33221;
329;SE;RJ;PT;1312;LUIZ SERGIO NàBREGA DE OLIVEIRA;LUIZ SÉRGIO;56;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;2429512.5;48903;
330;SE;RJ;DEM;2587;RODRIGO FELINTO IBARRA EPITµCIO MAIA;RODRIGO MAIA;44;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR INCOMPLETO;DEPUTADO;Não;2361183.05;53167;
331;SE;RJ;PRP;4415;ALEXANDRE VALLE CARDOSO;ALEXANDRE VALLE;41;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR INCOMPLETO;COMERCIANTE;Não;241765.91;26526;
332;SE;RJ;PP;1120;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;59;ELEITO POR QP;MASCULINO;Sim;B;SUPERIOR COMPLETO;DEPUTADO;Sim;405224;464572;
333;SE;RJ;PDT;1200;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;46;ELEITO POR QP;MASCULINO;Não;B;ENSINO MÉDIO COMPLETO;DEPUTADO;Não;665987.5;47370;
334;SE;RJ;PTB;1456;WANDERLEY ALVES DE OLIVEIRA;DELEY;55;ELEITO POR MÉDIA;MASCULINO;Não;B;SUPERIOR COMPLETO;ADMINISTRADOR;Não;619060;48874;
335;SE;RJ;PR;2280;FRANCISCO FLORIANO DE SOUSA SILVA;FRANCISCO FLORIANO;55;ELEITO POR QP;MASCULINO;Não;B;ENSINO MÉDIO COMPLETO;DEPUTADO;Sim;206564.15;47157;
336;SE;RJ;PR;2211;MARCOS BEZERRA RIBEIRO SOARES;MARCOS SOARES;36;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;817780;44440;
337;SE;RJ;PTB;1414;CRISTIANE BRASIL FRANCISCO;CRISTIANE BRASIL;40;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;VEREADOR;Não;5365728.32;81817;
338;SE;RJ;PMDB;1530;EDUARDO COSENTINO DA CUNHA;EDUARDO CUNHA;56;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;6832480.98;232708;
339;SE;RJ;PROS;9000;MIRO TEIXEIRA;MIRO TEIXEIRA;69;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1928200;58409;
340;SE;RJ;PT;1313;ALESSANDRO LUCCIOLA MOLON;ALESSANDRO MOLON;42;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Sim;858162.5;87003;
341;SE;RJ;PSDB;4555;OTAVIO SANTOS SILVA LEITE;OTAVIO LEITE;53;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Sim;2429182.72;106398;
342;SE;RJ;PSD;5501;SERGIO ZVEITER;SERGIO ZVEITER;58;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Sim;5720550.5;57587;
343;SE;RJ;PRB;1010;ROBERTO DA SILVA SALES;ROBERTO SALES;36;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADMINISTRADOR;Não;232619.5;124087;
344;SE;RJ;PROS;9090;HUGO LEAL MELO DA SILVA;HUGO LEAL;52;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Sim;1922400;85449;
345;SE;RJ;PSD;5570;ALEXANDRE AUGUSTUS SERFIOTIS;ALEXANDRE SERFIOTIS;38;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;MÉDICO;Não;908489;48879;
346;SE;RJ;PP;1125;SIMAO SESSIM;SIMÇO SESSIM;78;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2765208.99;58825;
347;SE;RJ;PMDB;1516;WASHINGTON REIS DE OLIVEIRA;WASHINGTON REIS;47;ELEITO POR QP;MASCULINO;Não;B;ENSINO MÉDIO INCOMPLETO;DEPUTADO;Sim;1362633.01;103190;
348;SE;RJ;PC do B;6565;JANDIRA FEGHALI;JANDIRA FEGHALI;57;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1173885.49;68531;
349;SE;RJ;PMDB;1515;PEDRO PAULO CARVALHO TEIXEIRA;PEDRO PAULO;42;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3488083;162403;
350;SE;RJ;PR;2269;ALTINEU CORTES FREITAS COUTINHO;ALTINEU CORTES;46;ELEITO POR MÉDIA;MASCULINO;Não;B;ENSINO MÉDIO COMPLETO;DEPUTADO;Não;553820;40593;
351;SE;RJ;SD;7725;EZEQUIEL CORTAZ TEIXEIRA;EZEQUIEL TEIXEIRA;59;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;ADVOGADO;Não;172075;35701;
352;SE;RJ;PSD;5593;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;77;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ENGENHEIRO;Sim;843140;55380;
353;SE;RJ;PRB;1033;ROSANGELA DE SOUZA GOMES;ROSANGELA GOMES;47;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;303556.5;101686;
354;SE;RJ;PP;1111;JULIO LUIZ BAPTISTA LOPES;JéLIO LOPES;55;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3345774.5;96796;
355;SE;RJ;PMDB;1577;MARCO ANTâNIO NEVES CABRAL;MARCO ANTâNIO CABRAL;23;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR INCOMPLETO;ESTUDANTE. BOLSISTA. ESTAGIµRIO E ASSEMELHADOS;Não;6789094.5;119584;
356;SE;RJ;PR;2222;CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA;CLARISSA GAROTINHO;32;ELEITO POR QP;FEMININO;Sim;B;SUPERIOR COMPLETO;DEPUTADO;Não;961204.72;335061;
357;SE;RJ;PT;1303;FABIANO TAQUES HORTA;FABIANO HORTA;40;ELEITO POR MÉDIA;MASCULINO;Não;B;SUPERIOR COMPLETO;VEREADOR;Não;531085.5;37989;
358;SE;RJ;PSD;5577;SàSTENES SILVA CAVALCANTE;SàSTENES CAVALCANTE;39;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;Não;699036.5;104697;
359;SE;RJ;PMDB;1550;FERNANDO ANTONIO CECILIANO JORDÇO;FERNANDO JORDÇO;62;ELEITO POR MÉDIA;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;721285;47188;
360;SE;RJ;PMDB;1580;LEONARDO CARNEIRO MONTEIRO PICCIANI;LEONARDO PICCIANI;34;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3489218.51;180741;
361;SE;RJ;PMDB;1540;CELSO PANSERA;CELSO PANSERA;50;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;Não;1276638;58534;
362;SE;RJ;PT;1377;BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;72;ELEITO POR MÉDIA;FEMININO;Não;B;SUPERIOR COMPLETO;ASSISTENTE SOCIAL;Sim;721413;48163;
363;SE;RJ;PSB;4080;GLAUBER DE MEDEIROS BRAGA;GLAUBER;32;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;ADVOGADO;Sim;564356;82236;
364;SE;RJ;PR;2288;PAULO FERNANDO FEIJà TORRES;PAULO FEIJà;58;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;229745.28;48058;
365;SE;RJ;PSD;5522;FELIPE LEONE BORNIER DE OLIVEIRA;FELIPE BORNIER;35;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;COMERCIANTE;Sim;1009268.05;105517;
366;SE;RJ;PSOL;5005;JEAN WYLLYS DE MATOS SANTOS;JEAN WYLLYS;40;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;JORNALISTA E REDATOR;Sim;75592.07;144770;
367;SE;RJ;SD;7733;AUREO LIDIO MOREIRA RIBEIRO;AUREO;35;ELEITO POR QP;MASCULINO;Não;O;ENSINO MÉDIO COMPLETO;DEPUTADO;Sim;2674841.47;58117;
368;SE;RJ;PSD;5566;ANTONIO PEDRO INDIO DA COSTA;INDIO DA COSTA;43;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Não;2827801.02;91523;
369;SE;RJ;PMDB;1513;SORAYA ALENCAR DOS SANTOS;SORAYA SANTOS;55;ELEITO POR MÉDIA;FEMININO;Não;B;SUPERIOR COMPLETO;ADVOGADO;Não;1394452.5;48204;
370;SE;RJ;PSOL;5050;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;64;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;Sim;180746.65;195964;
371;SE;RJ;PT;1310;FRANCISCO JOSÉ D'ANGELO PINTO;CHICO D'ANGELO;61;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;MÉDICO;Não;783588.96;52809;
372;SE;RJ;PR;2200;JOAO FERREIRA NETO;DR JOÇO;64;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;MÉDICO;Não;49530;65624;
373;NE;RN;PSD;5555;FµBIO SALUSTINO MESQUITA DE FARIA;FABIO FARIA;37;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;EMPRESµRIO;Não;1583454.91;166427;
374;NE;RN;PMDB;1511;WALTER PEREIRA ALVES;WALTER ALVES;34;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Não;2540750.36;191064;
375;NE;RN;PROS;9090;RAFAEL HUETE DA MOTTA;RAFAEL MOTTA;28;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;VEREADOR;Não;674833.2;176239;
376;NE;RN;PP;1111;CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO;BETINHO ROSADO SEGUNDO;32;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;AGRâNOMO;Não;737310;64445;
377;NE;RN;PSDB;4545;ROGÉRIO SIMONETTI MARINHO;ROGERIO MARINHO;50;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;ECONOMISTA;Não;835840;81534;
378;NE;RN;DEM;2512;FELIPE CATALÇO MAIA;FELIPE MAIA;40;ELEITO POR QP;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;1975271.82;113722;
379;NE;RN;PMN;3333;ANTâNIO JµCOME DE LIMA JUNIOR;JµCOME;52;ELEITO POR MÉDIA;MASCULINO;Não;O;SUPERIOR COMPLETO;DEPUTADO;Não;709700;71555;
380;NE;RN;PR;2222;ZENAIDE MAIA CALADO PEREIRA DOS SANTOS;DRA ZENAIDE MAIA;59;ELEITO POR QP;FEMININO;Não;B;SUPERIOR COMPLETO;MÉDICO;Não;770821.09;134588;
381;N;RO;PSDB;4545;MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;MARIANA CARVALHO;27;ELEITO POR QP;FEMININO;Não;O;SUPERIOR COMPLETO;MÉDICO;Não;892647;60324;
382;N;RO;PTB;1406;NILTON BALBINO;NILTON CAPIXABA;54;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;DEPUTADO;Sim;624089.53;42353;
383;N;RO;PMDB;1555;LUCIO ANTONIO MOSQUINI;LUCIO MOSQUINI;45;ELEITO POR QP;MASCULINO;Não;B;SUPERIOR COMPLETO;ENGENHEIRO;Não;952009.96;40595;
